Date,Open,High,Low,Close,Volume,30_Day_Rolling_Avg
15-Mar-17,139.41,140.75,139.02,140.46,25691774,142.30733333333333
14-Mar-17,139.3,139.65,138.84,138.99,15309065,142.15099999999998
13-Mar-17,138.85,139.43,138.82,139.2,17421717,141.97333333333333
10-Mar-17,139.25,139.36,138.64,139.14,19612801,141.82333333333332
9-Mar-17,138.74,138.79,137.05,138.68,22155904,141.7036666666667
8-Mar-17,138.95,139.8,138.82,139.0,18707236,141.589
7-Mar-17,139.06,139.98,138.79,139.52,17446297,141.55033333333333
6-Mar-17,139.36,139.77,138.6,139.34,21750044,141.48833333333332
3-Mar-17,138.78,139.83,138.59,139.78,21571121,141.42
2-Mar-17,140.0,140.28,138.76,138.96,26210984,141.3503333333333
1-Mar-17,137.89,140.15,137.6,139.79,36414585,141.28333333333333
28-Feb-17,137.08,137.44,136.7,136.99,23482860,141.12866666666667
27-Feb-17,137.14,137.44,136.28,136.93,20257426,140.92066666666668
24-Feb-17,135.91,136.66,135.28,136.66,21776585,140.69799999999998
23-Feb-17,137.38,137.48,136.3,136.53,20788186,140.46033333333335
22-Feb-17,136.43,137.12,136.11,137.11,20836932,140.23000000000002
21-Feb-17,136.23,136.75,135.98,136.7,24507156,139.96099999999998
17-Feb-17,135.1,135.83,135.1,135.72,22198197,139.69500000000002
16-Feb-17,135.67,135.9,134.84,135.34,22584555,139.41766666666666
15-Feb-17,135.52,136.27,134.62,135.51,35623100,139.137
14-Feb-17,133.47,135.09,133.25,135.02,33226223,138.8336666666667
13-Feb-17,133.08,133.82,132.75,133.29,23035421,138.48333333333332
10-Feb-17,132.46,132.94,132.05,132.12,20065458,138.19133333333332
9-Feb-17,131.65,132.44,131.12,132.42,28349859,137.91733333333335
8-Feb-17,131.35,132.22,131.22,132.04,23004072,137.62133333333335
7-Feb-17,130.54,132.09,130.45,131.53,38183841,137.29166666666666
6-Feb-17,129.13,130.5,128.9,130.29,26845924,136.97333333333333
3-Feb-17,128.31,129.19,128.16,129.08,24507301,136.56066666666666
2-Feb-17,127.98,129.39,127.78,128.53,33710411,136.17866666666666
1-Feb-17,127.03,130.49,127.01,128.75,111985040,135.78066666666666
31-Jan-17,121.15,121.39,120.62,121.35,49200993,135.14366666666666
30-Jan-17,120.93,121.63,120.66,121.63,30377503,134.565
27-Jan-17,122.14,122.35,121.6,121.95,20562944,133.98999999999998
26-Jan-17,121.67,122.44,121.6,121.94,26337576,133.41666666666666
25-Jan-17,120.42,122.1,120.28,121.88,32586673,132.85666666666668
24-Jan-17,119.55,120.1,119.5,119.97,23211038,132.22233333333332
23-Jan-17,120.0,120.81,119.77,120.08,22050218,131.57433333333333
20-Jan-17,120.45,120.45,119.73,120.0,32597892,130.92966666666666
19-Jan-17,119.4,120.09,119.37,119.78,25597291,130.263
18-Jan-17,120.0,120.5,119.71,119.99,23712961,129.63066666666666
17-Jan-17,118.34,120.24,118.22,120.0,34439843,128.97099999999998
13-Jan-17,119.11,119.62,118.81,119.04,26111948,128.37266666666667
12-Jan-17,118.9,119.3,118.21,119.25,27086220,127.78333333333333
11-Jan-17,118.74,119.93,118.6,119.75,27588593,127.21966666666667
10-Jan-17,118.77,119.38,118.3,119.11,24462051,126.639
9-Jan-17,117.95,119.43,117.94,118.99,33561948,126.03500000000001
6-Jan-17,116.78,118.16,116.47,117.91,31751900,125.40866666666666
5-Jan-17,115.92,116.86,115.81,116.61,22193587,124.77166666666668
4-Jan-17,115.85,116.51,115.75,116.02,21118116,124.12766666666667
3-Jan-17,115.8,116.33,114.76,116.15,28781865,123.48233333333334
